common_name,scientific_name,country,habitat
Wallangarra wattle,Acacia adunca,Australia,
winged wattle,Acacia alata,Australia,
,Acacia alaticaulis,Australia,
,Acacia alcockii,Australia,
,Acacia alleniana,Australia,
,Acacia alpina,Australia,mountains
,Acacia amanda,Australia,
,Acacia amblygona,Australia,
,Acacia amentifera,Australia,
,Acacia ammitia,Australia,
,Acacia ammobia,Australia,
,Acacia ammophila,Australia,
,Acacia amoena,Australia,
acacia,Acacia ampliceps,Australia,
,Acacia anadenia,Australia,
,Acacia ancistrocarpa,Australia,
,Acacia ancistrophylla,Australia,
mulga,Acacia aneura,Australia,
,Acacia aneura var. fuliginea,Australia,
,Acacia aneura var. intermedia,Australia,
,Acacia aneura var. macrocarpa,Australia,
,Acacia aneura var. major,Australia,
,Acacia aneura var. microcarpa,Australia,
,Acacia aneura var. pilbarana,Australia,water
,Acacia angusta,Australia,
,Acacia aprepta,Australia,
,Acacia aptaneura,Australia,
,Acacia arafurica,Australia,
,Acacia araneosa,Australia,
,Acacia arbiana,Australia,
,Acacia argentina,Australia,
,Acacia argyrodendron,Australia,
,Acacia argyrophylla,Australia,
,Acacia argyrotricha,Australia,
,Acacia armillata,Australia,
,Acacia armitii,Australia,
,Acacia asparagoides,Australia,
,Acacia aspera,Australia,
,Acacia asperulacea,Australia,
,Acacia atrox,Australia,
,Acacia attenuata,Australia,
,Acacia aulacocarpa,Australia,
,Acacia aureocrinita,Australia,
Petermann Wattle,Acacia auricoma,Australia,
earleaf acacia,Acacia auriculiformis,Australia,
earleaf acacia,Acacia auriculiformis,Papua New Guinea,
Ausfeld's Wattle,Acacia ausfeldii,Australia,
,Acacia awestoniana,Australia,
,Acacia axillaris,Australia,
,Acacia ayersiana,Australia,desert
,Acacia ayersiana var. latifolia,Australia,desert
,Acacia baeuerlenii,Australia,
cootamundra wattle,Acacia baileyana,Australia,
,Acacia bakeri,Australia,shrubland
,Acacia bancroftiorum,Australia,
,Acacia barakulensis,Australia,
,Acacia barattensis,Australia,
,Acacia barringtonensis,Australia,
Basedow's Wattle,Acacia basedowii,Australia,desert
,Acacia baueri,Australia,
,Acacia beadleana,Australia,
,Acacia beauverdiana,Australia,
Barrier Range wattle,Acacia beckleri,Australia,
,Acacia betchei,Australia,
two-vein-hickory,Acacia binervata,Australia,
,Acacia binervia,Australia,coastal
Two-nerved wattle,Acacia bivenosa,Australia,coastal
,Acacia blakei,Australia,
,Acacia blayana,Australia,
,Acacia boormanii,Australia,water
gray mulga,Acacia brachybotrya,Australia,
,Acacia brachystachya,Australia,
,Acacia brassii,Australia,
,Acacia brockii,Australia,
,Acacia brownii,Australia,shrubland
,Acacia brunioides,Australia,
,Acacia bulgaensis,Australia,
,Acacia burbidgeae,Australia,
,Acacia burdekensis,Australia,
,Acacia burkittii,Australia,desert
,Acacia burrana,Australia,
,Acacia burrowii,Australia,
,Acacia buxifolia,Australia,
,Acacia bynoeana,Australia,
,Acacia caerulescens,Australia,
tableland wattle,Acacia caesiella,Australia,
broom wattle,Acacia calamifolia,Australia,
,Acacia calantha,Australia,
,Acacia calcicola,Australia,desert
,Acacia calligera,Australia,
,Acacia calyculata,Australia,
gidgee,Acacia cambagei,Australia,
,Acacia cana,Australia,
,Acacia cangaiensis,Australia,
,Acacia capillosa,Australia,
wyalong wattle,Acacia cardiophylla,Australia,
,Acacia carneorum,Australia,
,Acacia caroleae,Australia,
,Acacia castorum,Australia,mountains
,Acacia cataractae,Australia,
,Acacia celsa,Australia,
,Acacia centrinervia,Australia,
,Acacia chalkeri,Australia,
,Acacia cheelii,Australia,
,Acacia chinchillensis,Australia,
,Acacia chippendalei,Australia,
,Acacia chisholmii,Australia,desert
